A1A	A1B	A1C	A2A	A2B	A2C	A3A	A3B	A3C	A4A	A4B	A4C	A5A	A5B	A5C	A6A	A6B	A6C	A7A	A7B	A7C	J1A	J1B	J1C	J2A	J2B	J2C	J3A	J3B	J3C	J4A	J4B	J4C	J5A	J5B	J5C	J6A	J6B	J6C	J7A	J7B	J7C	O1A	O1B	O1C	O2A	O2B	O2C	O3A	O3B	O3C	O4A	O4B	O4C	O5A	O5B	O5C	O6A	O6B	O6C	O7A	O7B	O7C
2185	2944	2963	3912	4778	7377	6393	7394	3059	7600	4778	7771	6825	4686	8110	17602	4598	11883	4473	3499	3754	1700	34	1165	2350	1480	2027	1933	3907	2896	3270	1991	2612	1651	3179	2267	2242	2576	1721	2320	2858	1906	950	2350	1564	2519	5138	4188	4682	12399	2354	3547	4510	2300	3916	5938	5770	3547	5563	5107	3668	2406	3226
0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	7	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	8	0	27	9	36	14	23	20	15	5	0	0	0	1	16	4	43	0	0	0	6	5	8	11	14	1	4	13	2	7	3	2	11	3	1	28	6	1	0	4	0	8	8	27	107	2	32	27	39	8	1	4	0	46	3	17	25	50	6
213	575	420	3230	8098	6491	1012	3886	206	273	423	609	5008	2228	1276	680	5177	4544	848	258	422	572	4	199	850	892	234	57	2291	1058	363	228	332	669	918	1024	195	173	181	205	323	437	98	150	136	377	1788	1957	491	225	1035	423	385	265	430	2508	3747	192	3289	1064	269	378	333
0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
2	0	5	0	0	0	1	0	0	3	0	0	5	0	0	0	0	2	3	1	6	0	0	4	0	0	0	0	6	1	4	0	0	0	1	0	10	0	0	2	0	0	2	4	0	0	0	2	4	0	12	0	1	2	2	2	0	0	3	6	4	6	0
0	7	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	1	1	0	1	33	3	23	1	0	0	0	0	2	0	0	3	0	0	0	15	1	2	1	0	5	1	0	1	0	7	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0
3	3	2	8	0	2	1	0	0	1	0	5	4	4	211	2	1	2	7	52	13	3	0	4	1	3	2	21	1	3	0	4	1	0	3	62	0	3	2	6	0	1	3	1	0	2	32	0	1	2	1	0	3	1	1	0	2	1	7	7	2	2	3
